"InChIKey","ClassyFy_Status","Kingdom","Superclass","Class","Subclass","Parent_Level_1","Parent_Level_2","Parent_Level_3","Parent_Level_4","Parent_Level_5","Parent_Level_6"
"CMFAKTRZLATJOA-UPHRSURJSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",NA,NA,NA,NA,NA
"IKIIZLYTISPENI-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid O-glucuronides","Flavonoid-7-O-glucuronides",NA,NA,NA
"UOJQVKJSJVULOG-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Quinone and hydroquinone lipids","Prenylquinones",NA,NA,NA,NA,NA
"KJDLCCSAVYUQIT-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Lactones","Delta valerolactones","Delta valerolactones",NA,NA,NA,NA,NA
"LQYPUZKOEZWGBX-UHFFFAOYNA-N","Completed","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides",NA,"Pyrimidine nucleosides",NA,NA,NA,NA,NA
"LREHNMAHTSUHBC-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azaphilones",NA,"Azaphilones",NA,NA,NA,NA,NA
"RECLDAGWBWVMCW-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid C-glycosides",NA,NA,NA,NA,NA
"IUKLSMSEHKDIIP-BZMYINFQSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal alkaloids","Cerveratrum-type alkaloids",NA,NA,NA,NA,NA
"GWNVDXQDILPJIG-NXOLIXFESA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Oligopeptides",NA,NA,NA,NA
"QETQPQDBDULWLC-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides",NA,NA,NA,NA,NA
"GZIFEOYASATJEH-BCQCSXDESA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Quinone and hydroquinone lipids","Vitamin E compounds","Tocopherols",NA,NA,NA,NA
"SXNROIKPQUADKR-CYHKELSUSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Hydroxy bile acids, alcohols and derivatives","Monohydroxy bile acids, alcohols and derivatives",NA,NA,NA,NA
"IWFBTVKUANPWLB-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid C-glycosides",NA,NA,NA,NA,NA
"GSAWBDXYMSQMRT-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Limonoids",NA,NA,NA,NA,NA
"BNUCXCGZTSEDGK-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid-7-O-glycosides",NA,NA,NA,NA
"PQQRNPDHSJDAGV-UHFFFAOYSA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides",NA,"Lignan glycosides",NA,NA,NA,NA,NA
"ZKLSVVSNZGPHRI-UKILVPOCSA-N","Completed","Organic compounds","Alkaloids and derivatives","Lupin alkaloids","Cytisine and derivatives","Cytisine and derivatives",NA,NA,NA,NA,NA
"QMNWISYXSJWHRY-IBCLAKHGSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal saponins","Cucurbitacin glycosides",NA,NA,NA,NA
"PFNFFQXMRSDOHW-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Secondary amines","Dialkylamines",NA,NA,NA,NA
"HEBKCHPVOIAQTA-UHFFFAOYNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",NA,NA,NA,NA,NA
"VODZWWMEJITOND-OWWNRXNESA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Sphingolipids","Ceramides","Ceramides",NA,NA,NA,NA,NA
"NDJDZINMNBVVHS-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Isoindoles and derivatives","Isoindolines","Isoindolones",NA,NA,NA,NA,NA
"YSYKRGRSMLTJNL-UHFFFAOYNA-N","Completed","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",NA,NA,NA,NA,NA
"XOLPMAUNTYNKPF-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",NA,NA,NA,NA,NA
"NIFSOTSGUFBSPF-CVZHIFNESA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Depsipeptides","Cyclic depsipeptides",NA,NA,NA,NA,NA
"ACTOXUHEUCPTEW-JMRHEKERSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminosaccharides","Aminoglycosides",NA,NA,NA,NA
"HOOOPXDSCKBLFG-UHFFFAOYNA-N","Completed","Organic compounds","Benzenoids","Phenols","1-hydroxy-2-unsubstituted benzenoids","1-hydroxy-2-unsubstituted benzenoids",NA,NA,NA,NA,NA
"ZVYMCLIDNNTNCL-GFRRLMGDSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Acylaminobenzoic acid and derivatives",NA,NA,NA,NA,NA
"PBSOJKPTQWWJJD-ZBDZJSKLSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones","Bufanolides and derivatives",NA,NA,NA,NA,NA
